timestamp,user,machine,action,src_ip,logon_type,protocol,location
2025-07-01 08:10,Alice Smith,PC-ALICE-01,LogonSuccess,10.1.1.5,Interactive,Kerberos,London
2025-07-01 08:12,Alice Smith,SRV-FILE-01,LogonSuccess,10.1.1.5,Network,Kerberos,London
2025-07-01 09:01,Bob Johnson,PC-BOB-01,LogonSuccess,10.1.2.8,Interactive,NTLM,Berlin
2025-07-01 09:05,Bob Johnson,SRV-FILE-01,LogonSuccess,10.1.2.8,Network,Kerberos,Berlin
2025-07-01 09:45,Bob Johnson,SRV-DC-01,LogonSuccess,10.1.2.8,Network,Kerberos,Berlin
2025-07-01 10:22,Charlie Brown,PC-CHARLIE-01,LogonSuccess,10.1.3.12,Interactive,Kerberos,Milan
2025-07-01 10:55,Charlie Brown,SRV-DC-01,LogonFailed,10.1.3.12,Network,NTLM,Milan
2025-07-01 11:01,Charlie Brown,SRV-DC-01,LogonFailed,10.1.3.12,Network,NTLM,Milan
2025-07-01 11:02,Charlie Brown,SRV-DC-01,LogonFailed,10.1.3.12,Network,NTLM,Milan
2025-07-01 11:03,Charlie Brown,SRV-DC-01,LogonSuccess,10.1.3.12,Network,Kerberos,Milan
2025-07-01 11:15,Charlie Brown,SRV-SQL-01,LogonSuccess,10.1.3.12,Network,Kerberos,Milan
2025-07-01 11:30,Alice Smith,SRV-DC-01,LogonFailed,10.1.1.5,Network,NTLM,London
2025-07-01 12:00,Bob Johnson,SRV-SQL-01,LogonSuccess,10.1.2.8,Network,Kerberos,Berlin
