timestamp,user,machine,protocol,action,logon_type,location,ip
2025-07-01 08:10,Alice Smith,PC-ALICE-01,Kerberos,LogonSuccess,Interactive,London,10.1.1.5
2025-07-01 08:12,Alice Smith,SRV-FILE-01,Kerberos,LogonSuccess,Network,London,10.1.1.5
2025-07-01 09:01,Bob Johnson,PC-BOB-01,Kerberos,LogonSuccess,Interactive,Berlin,10.1.2.8
2025-07-01 09:05,Bob Johnson,SRV-FILE-01,NTLM,LogonSuccess,Network,Berlin,10.1.2.8
2025-07-01 09:45,Bob Johnson,SRV-DC-01,NTLM,LogonSuccess,Network,Berlin,10.1.2.8
2025-07-01 10:22,Charlie Brown,PC-CHARLIE-01,Kerberos,LogonSuccess,Interactive,Milan,10.1.3.12
2025-07-01 10:55,Charlie Brown,SRV-DC-01,NTLM,LogonFailed,Network,Milan,10.1.3.12
2025-07-01 11:02,Charlie Brown,SRV-DC-01,NTLM,LogonFailed,Network,TorExitNode,185.220.101.9
2025-07-01 11:03,Charlie Brown,SRV-DC-01,Kerberos,LogonSuccess,Network,Milan,10.1.3.12
2025-07-01 11:30,Alice Smith,SRV-DC-01,NTLM,LogonFailed,Network,London,10.1.1.5
2025-07-01 12:00,hacker,SRV-SQL-01,NTLM,LogonFailed,Network,Beijing,203.0.113.88
